# Anderstorp Raceway planar centerline, L = 4009.1 m
# from OSM (way["highway"="raceway"](57.23,13.55,57.30,13.65)); (c) OpenStreetMap contributors, ODbL 1.0
# smoothed with a periodic Gaussian, sigma = 6 m; elevation dropped
s_m,x_m,y_m,psi_rad,kappa_1pm
0.000000,-240.900712,4.692927,1.006614,0.000000
5.000000,-238.227086,8.918057,1.006614,0.000000
10.000000,-235.553461,13.143187,1.006614,-0.000000
15.000000,-232.879835,17.368318,1.006614,-0.000000
20.000000,-230.206209,21.593448,1.006614,-0.000000
25.000000,-227.532583,25.818578,1.006614,-0.000000
30.000000,-224.858957,30.043708,1.006614,0.000000
35.000000,-222.185332,34.268838,1.006614,-0.000000
40.000000,-219.511706,38.493968,1.006614,-0.000000
45.000000,-216.838080,42.719099,1.006614,0.000000
50.000000,-214.164454,46.944229,1.006614,0.000000
55.000000,-211.490828,51.169359,1.006614,-0.000000
60.000000,-208.817202,55.394489,1.006614,-0.000000
65.000000,-206.143577,59.619619,1.006614,0.000000
70.000000,-203.469951,63.844750,1.006614,0.000000
75.000000,-200.796325,68.069880,1.006614,0.000000
80.000000,-198.122699,72.295010,1.006614,-0.000000
85.000000,-195.449073,76.520140,1.006614,0.000000
90.000000,-192.775447,80.745270,1.006614,0.000000
95.000000,-190.101822,84.970400,1.006614,0.000000
100.000000,-187.428196,89.195531,1.006614,-0.000000
105.000000,-184.754570,93.420661,1.006614,-0.000000
110.000000,-182.080944,97.645791,1.006614,0.000000
115.000000,-179.407318,101.870921,1.006614,-0.000000
120.000000,-176.733693,106.096051,1.006614,0.000000
125.000000,-174.060067,110.321181,1.006614,-0.000000
130.000000,-171.386441,114.546312,1.006614,-0.000000
135.000000,-168.712815,118.771442,1.006614,-0.000000
140.000000,-166.039189,122.996572,1.006614,-0.000000
145.000000,-163.365563,127.221702,1.006614,0.000000
150.000000,-160.691938,131.446832,1.006614,0.000000
155.000000,-158.018312,135.671962,1.006614,-0.000000
160.000000,-155.344686,139.897093,1.006614,0.000000
165.000000,-152.671060,144.122223,1.006614,-0.000000
170.000000,-149.997434,148.347353,1.006614,-0.000000
175.000000,-147.323809,152.572483,1.006614,0.000000
180.000000,-144.650183,156.797613,1.006614,0.000000
185.000000,-141.976557,161.022744,1.006614,-0.000000
190.000000,-139.302931,165.247874,1.006614,0.000000
195.000000,-136.629305,169.473004,1.006614,0.000000
200.000000,-133.955679,173.698134,1.006614,-0.000000
205.000000,-131.282054,177.923264,1.006614,0.000000
