# Gelleråsen Arena planar centerline, L = 2327.2 m
# from OSM (way["highway"="raceway"](59.33,14.45,59.40,14.55)); (c) OpenStreetMap contributors, ODbL 1.0
# smoothed with a periodic Gaussian, sigma = 6 m; elevation dropped
s_m,x_m,y_m,psi_rad,kappa_1pm
0.000000,78.570939,119.142091,0.113490,0.000000
5.000000,83.538774,119.708324,0.113490,0.000000
10.000000,88.506608,120.274557,0.113490,0.000000
15.000000,93.474443,120.840790,0.113490,0.000000
20.000000,98.442277,121.407024,0.113491,0.000000
25.000000,103.410110,121.973275,0.113499,0.000003
30.000000,108.377933,122.539610,0.113531,0.000010
35.000000,113.345726,123.106208,0.113596,0.000014
40.000000,118.313484,123.673108,0.113640,0.000001
45.000000,123.281240,124.240030,0.113602,-0.000014
50.000000,128.249031,124.806649,0.113532,-0.000012
55.000000,133.216856,125.372965,0.113492,-0.000004
60.000000,138.184693,125.939176,0.113484,0.000000
65.000000,143.152529,126.505397,0.113495,0.000004
70.000000,148.120354,127.071711,0.113523,0.000007
75.000000,153.088159,127.638201,0.113559,0.000007
80.000000,158.055947,128.204843,0.113583,0.000003
85.000000,163.023726,128.771567,0.113592,0.000001
90.000000,167.991502,129.338312,0.113593,0.000000
95.000000,172.959278,129.905059,0.113594,0.000000
100.000000,177.927054,130.471807,0.113594,-0.000000
105.000000,182.894830,131.038554,0.113594,-0.000000
110.000000,187.862605,131.605302,0.113594,-0.000000
115.000000,192.830381,132.172049,0.113594,0.000000
120.000000,197.798157,132.738797,0.113594,0.000000
125.000000,202.765933,133.305545,0.113594,0.000000
130.000000,207.733709,133.872292,0.113594,0.000000
135.000000,212.701485,134.439040,0.113594,-0.000000
140.000000,217.669261,135.005788,0.113594,-0.000000
145.000000,222.637037,135.572535,0.113594,0.000000
150.000000,227.604812,136.139283,0.113594,0.000000
155.000000,232.572588,136.706030,0.113594,-0.000000
160.000000,237.540364,137.272778,0.113594,0.000000
165.000000,242.508140,137.839526,0.113594,0.000000
170.000000,247.475916,138.406273,0.113594,0.000000
175.000000,252.443692,138.973021,0.113594,0.000000
180.000000,257.411468,139.539768,0.113594,-0.000000
185.000000,262.379244,140.106516,0.113594,-0.000000
190.000000,267.347019,140.673264,0.113594,-0.000000
195.000000,272.314795,141.240011,0.113594,-0.000000
200.000000,277.282571,141.806759,0.113594,-0.000000
205.000000,282.250347,142.373506,0.113594,-0.000000
210.000000,287.218123,142.940254,0.113594,0.000000
215.000000,292.185899,143.507002,0.113594,-0.000000
220.000000,297.153675,144.073749,0.113594,-0.000000
225.000000,302.121451,144.640492,0.113588,-0.000003
230.000000,307.089241,145.207118,0.113505,-0.000043
235.000000,312.057215,145.772125,0.112678,-0.000342
240.000000,317.026208,146.328074,0.108990,-0.001283
245.000000,321.998900,146.849700,0.098872,-0.002706
250.000000,326.977904,147.306762,0.081769,-0.004335
255.000000,331.966349,147.642559,0.047255,-0.010405
260.000000,336.964265,147.712261,-0.039763,-0.026831
265.000000,341.913699,147.071863,-0.240306,-0.053631
270.000000,346.510904,145.177090,-0.559729,-0.070519
275.000000,350.227352,141.869582,-0.892208,-0.059702
280.000000,352.772974,137.583895,-1.160455,-0.050107
285.000000,354.189290,132.804697,-1.401564,-0.045990
290.000000,354.502836,127.824103,-1.602840,-0.032996
295.000000,353.986381,122.854717,-1.727761,-0.018242
300.000000,353.014203,117.951347,-1.799823,-0.011540
305.000000,351.748066,113.114906,-1.848592,-0.007940
310.000000,350.297865,108.330049,-1.877464,-0.003507
