# Kinnekulle Ring planar centerline, L = 2052.2 m
# from OSM (way["highway"="raceway"](58.52,13.33,58.60,13.45)); (c) OpenStreetMap contributors, ODbL 1.0
# smoothed with a periodic Gaussian, sigma = 6 m; elevation dropped
s_m,x_m,y_m,psi_rad,kappa_1pm
0.000000,236.139328,80.302500,0.471270,0.000000
5.000000,240.594290,82.572592,0.471270,-0.000000
10.000000,245.049251,84.842684,0.471270,0.000000
15.000000,249.504212,87.112776,0.471270,-0.000000
20.000000,253.959174,89.382868,0.471270,-0.000000
25.000000,258.414135,91.652960,0.471270,0.000000
30.000000,262.869097,93.923052,0.471270,-0.000000
35.000000,267.324058,96.193145,0.471270,-0.000000
40.000000,271.779020,98.463237,0.471270,0.000000
45.000000,276.233981,100.733329,0.471270,0.000000
50.000000,280.688943,103.003421,0.471270,-0.000000
55.000000,285.143904,105.273513,0.471270,-0.000000
60.000000,289.598866,107.543605,0.471270,0.000000
65.000000,294.053827,109.813697,0.471270,0.000000
70.000000,298.508789,112.083789,0.471270,-0.000000
75.000000,302.963750,114.353881,0.471270,-0.000000
80.000000,307.418712,116.623974,0.471270,-0.000001
85.000000,311.873691,118.894030,0.471238,-0.000017
90.000000,316.328918,121.163602,0.470912,-0.000153
95.000000,320.786457,123.428625,0.468705,-0.000810
100.000000,325.253206,125.675414,0.461660,-0.002125
105.000000,329.744293,127.873066,0.447752,-0.003316
110.000000,334.269737,129.998993,0.428471,-0.004575
115.000000,338.845951,132.012999,0.398736,-0.007407
120.000000,343.490900,133.862321,0.353730,-0.010678
125.000000,348.230965,135.450656,0.291054,-0.014543
130.000000,353.070927,136.698706,0.203632,-0.021077
135.000000,358.016198,137.411395,0.078865,-0.028309
140.000000,363.010406,137.445698,-0.071577,-0.031033
145.000000,367.950040,136.704663,-0.219355,-0.027521
150.000000,372.746698,135.307370,-0.343214,-0.022020
155.000000,377.358720,133.382171,-0.442288,-0.018019
160.000000,381.778699,131.048787,-0.528662,-0.017030
165.000000,385.979723,128.340946,-0.618440,-0.019168
170.000000,389.903314,125.245990,-0.719033,-0.020634
175.000000,393.492987,121.768797,-0.817505,-0.018298
180.000000,396.750162,117.977649,-0.900956,-0.015326
185.000000,399.706596,113.946913,-0.974104,-0.014094
190.000000,402.370439,109.717000,-1.041398,-0.012697
195.000000,404.764038,105.328097,-1.100133,-0.010858
200.000000,406.910913,100.813245,-1.152741,-0.010453
205.000000,408.819589,96.192640,-1.207094,-0.011399
210.000000,410.458060,91.469706,-1.267301,-0.012714
215.000000,411.796859,86.653392,-1.334898,-0.014403
220.000000,412.780087,81.752545,-1.411398,-0.016156
225.000000,413.372063,76.789403,-1.496100,-0.017736
230.000000,413.514296,71.793558,-1.587972,-0.018894
235.000000,413.196989,66.805754,-1.683160,-0.019001
240.000000,412.399408,61.871878,-1.775095,-0.017625
245.000000,411.183250,57.023692,-1.858586,-0.015829
250.000000,409.573720,52.291308,-1.935318,-0.014907
255.000000,407.628837,47.686326,-2.006042,-0.013145
260.000000,405.375588,43.223754,-2.066486,-0.011212
265.000000,402.883580,38.889756,-2.119473,-0.010073
270.000000,400.165565,34.693737,-2.170343,-0.010525
275.000000,397.237965,30.641298,-2.226047,-0.011725
