# Ring Knutstorp planar centerline, L = 2051.9 m
# from OSM (way(229220546)); (c) OpenStreetMap contributors, ODbL 1.0
# smoothed with a periodic Gaussian, sigma = 6 m; elevation dropped
s_m,x_m,y_m,psi_rad,kappa_1pm
0.000000,-109.520142,-33.049312,2.553036,-0.000005
5.000000,-113.678817,-30.273447,2.553007,-0.000006
10.000000,-117.837408,-27.497458,2.552978,-0.000005
15.000000,-121.995933,-24.721369,2.552962,-0.000002
20.000000,-126.154433,-21.945242,2.552957,-0.000000
25.000000,-130.312927,-19.169107,2.552957,-0.000000
30.000000,-134.471421,-16.392971,2.552956,-0.000000
35.000000,-138.629914,-13.616835,2.552956,0.000000
40.000000,-142.788407,-10.840698,2.552956,0.000000
45.000000,-146.946901,-8.064562,2.552956,0.000000
50.000000,-151.105394,-5.288426,2.552956,0.000000
55.000000,-155.263888,-2.512289,2.552956,0.000000
60.000000,-159.422381,0.263847,2.552956,-0.000000
65.000000,-163.580874,3.039984,2.552956,-0.000000
70.000000,-167.739368,5.816120,2.552956,-0.000000
75.000000,-171.897861,8.592256,2.552956,-0.000000
80.000000,-176.056354,11.368393,2.552956,-0.000000
85.000000,-180.214848,14.144529,2.552956,-0.000000
90.000000,-184.373341,16.920665,2.552956,-0.000000
95.000000,-188.531834,19.696802,2.552956,-0.000000
100.000000,-192.690328,22.472938,2.552956,0.000000
105.000000,-196.848821,25.249074,2.552956,-0.000000
110.000000,-201.007314,28.025211,2.552956,0.000000
115.000000,-205.165808,30.801347,2.552956,0.000000
120.000000,-209.324301,33.577483,2.552956,-0.000000
125.000000,-213.482795,36.353620,2.552956,0.000000
130.000000,-217.641288,39.129756,2.552956,0.000000
135.000000,-221.799781,41.905892,2.552956,-0.000000
140.000000,-225.958275,44.682029,2.552956,-0.000000
145.000000,-230.116768,47.458165,2.552956,0.000000
150.000000,-234.275261,50.234301,2.552956,0.000000
155.000000,-238.433755,53.010438,2.552956,-0.000000
160.000000,-242.592248,55.786574,2.552956,-0.000000
165.000000,-246.750741,58.562710,2.552956,0.000000
170.000000,-250.909235,61.338847,2.552956,-0.000000
175.000000,-255.067728,64.114983,2.552956,0.000000
180.000000,-259.226221,66.891119,2.552956,0.000000
185.000000,-263.384715,69.667256,2.552956,0.000000
190.000000,-267.543208,72.443392,2.552956,0.000000
195.000000,-271.701702,75.219528,2.552956,0.000000
200.000000,-275.860195,77.995665,2.552956,0.000000
205.000000,-280.018688,80.771801,2.552956,-0.000000
210.000000,-284.177182,83.547937,2.552956,-0.000000
215.000000,-288.335674,86.324075,2.552955,-0.000000
220.000000,-292.494158,89.100225,2.552947,-0.000004
225.000000,-296.652580,91.876468,2.552903,-0.000015
230.000000,-300.810800,94.653015,2.552790,-0.000031
235.000000,-304.968593,97.430200,2.552624,-0.000032
240.000000,-309.125969,100.208010,2.552495,-0.000018
245.000000,-313.283084,102.986208,2.552442,-0.000005
250.000000,-317.440126,105.764518,2.552430,-0.000001
255.000000,-321.597154,108.542848,2.552428,-0.000000
