# Nurburgring Nordschleife planar centerline, L = 20718.5 m
# from OSM relation 38566 (route=road); (c) OpenStreetMap contributors, ODbL 1.0
# smoothed with a periodic Gaussian, sigma = 6 m; elevation dropped
s_m,x_m,y_m,psi_rad,kappa_1pm
0.000000,803.582803,-1658.960742,-2.594007,0.000704
5.000000,799.318331,-1661.571155,-2.590975,0.000471
10.000000,795.059741,-1664.191156,-2.589424,0.000158
15.000000,790.803515,-1666.814996,-2.589028,0.000028
20.000000,786.547723,-1669.439541,-2.588968,0.000002
25.000000,782.291984,-1672.064172,-2.588964,0.000000
30.000000,778.036247,-1674.688807,-2.588963,0.000000
35.000000,773.780511,-1677.313441,-2.588963,0.000000
40.000000,769.524774,-1679.938075,-2.588963,-0.000000
45.000000,765.269038,-1682.562710,-2.588963,0.000000
50.000000,761.013301,-1685.187344,-2.588963,-0.000000
55.000000,756.757564,-1687.811979,-2.588963,-0.000000
60.000000,752.501828,-1690.436613,-2.588963,0.000000
65.000000,748.246091,-1693.061247,-2.588963,-0.000000
70.000000,743.990354,-1695.685882,-2.588963,0.000000
75.000000,739.734618,-1698.310516,-2.588963,0.000000
80.000000,735.478881,-1700.935151,-2.588963,0.000000
85.000000,731.223145,-1703.559785,-2.588963,-0.000000
90.000000,726.967408,-1706.184420,-2.588963,-0.000000
95.000000,722.711671,-1708.809054,-2.588963,-0.000000
100.000000,718.455935,-1711.433688,-2.588963,-0.000000
105.000000,714.200198,-1714.058323,-2.588963,0.000000
110.000000,709.944461,-1716.682957,-2.588963,-0.000000
115.000000,705.688725,-1719.307592,-2.588963,0.000000
120.000000,701.432988,-1721.932226,-2.588963,-0.000000
125.000000,697.177252,-1724.556861,-2.588963,-0.000000
130.000000,692.921515,-1727.181495,-2.588963,0.000000
135.000000,688.665778,-1729.806129,-2.588963,0.000000
140.000000,684.410042,-1732.430764,-2.588963,-0.000000
145.000000,680.154305,-1735.055398,-2.588963,-0.000000
150.000000,675.898569,-1737.680033,-2.588963,-0.000000
155.000000,671.642832,-1740.304667,-2.588963,-0.000000
160.000000,667.387095,-1742.929301,-2.588963,-0.000000
165.000000,663.131359,-1745.553936,-2.588963,-0.000000
170.000000,658.875622,-1748.178570,-2.588963,0.000000
175.000000,654.619885,-1750.803205,-2.588963,-0.000000
180.000000,650.364149,-1753.427839,-2.588963,-0.000000
185.000000,646.108412,-1756.052474,-2.588963,0.000000
190.000000,641.852676,-1758.677108,-2.588963,0.000000
195.000000,637.596939,-1761.301742,-2.588963,0.000000
200.000000,633.341202,-1763.926377,-2.588963,0.000000
205.000000,629.085466,-1766.551011,-2.588963,-0.000000
210.000000,624.829729,-1769.175646,-2.588963,0.000000
215.000000,620.573992,-1771.800280,-2.588963,0.000000
220.000000,616.318256,-1774.424914,-2.588963,-0.000000
225.000000,612.062519,-1777.049549,-2.588963,0.000000
230.000000,607.806783,-1779.674185,-2.588962,0.000001
235.000000,603.551075,-1782.298865,-2.588927,0.000017
240.000000,599.295639,-1784.923987,-2.588661,0.000112
245.000000,595.041944,-1787.551928,-2.587426,0.000400
250.000000,590.793401,-1790.188188,-2.584593,0.000718
255.000000,586.554167,-1792.839387,-2.581024,0.000645
260.000000,582.323012,-1795.503465,-2.578621,0.000296
265.000000,578.096109,-1798.174288,-2.577798,0.000071
270.000000,573.870247,-1800.846757,-2.577635,0.000008
275.000000,569.644547,-1803.519482,-2.577620,0.000001
280.000000,565.418857,-1806.192223,-2.577619,-0.000000
285.000000,561.193168,-1808.864965,-2.577619,0.000000
290.000000,556.967478,-1811.537707,-2.577619,0.000000
295.000000,552.741789,-1814.210448,-2.577619,0.000000
300.000000,548.516099,-1816.883190,-2.577619,0.000000
305.000000,544.290410,-1819.555932,-2.577619,-0.000000
310.000000,540.064720,-1822.228674,-2.577619,0.000000
315.000000,535.839031,-1824.901415,-2.577619,0.000000
320.000000,531.613341,-1827.574157,-2.577619,-0.000000
325.000000,527.387652,-1830.246899,-2.577619,0.000000
330.000000,523.161962,-1832.919640,-2.577619,0.000000
335.000000,518.936273,-1835.592382,-2.577619,-0.000000
340.000000,514.710583,-1838.265124,-2.577619,0.000000
345.000000,510.484894,-1840.937865,-2.577619,0.000000
350.000000,506.259204,-1843.610607,-2.577620,-0.000000
355.000000,502.033511,-1846.283342,-2.577625,-0.000003
360.000000,497.807775,-1848.956012,-2.577665,-0.000017
365.000000,493.581766,-1851.628248,-2.577859,-0.000064
370.000000,489.354922,-1854.299163,-2.578318,-0.000118
375.000000,485.126531,-1856.967628,-2.578915,-0.000110
380.000000,480.896763,-1859.633911,-2.579329,-0.000052
385.000000,476.666250,-1862.299011,-2.579476,-0.000013
390.000000,472.435548,-1864.963812,-2.579507,-0.000001
395.000000,468.204816,-1867.628565,-2.579510,-0.000000
400.000000,463.974082,-1870.293314,-2.579510,0.000000
405.000000,459.743348,-1872.958063,-2.579510,-0.000000
410.000000,455.512614,-1875.622813,-2.579510,0.000000
415.000000,451.281880,-1878.287562,-2.579510,0.000000
420.000000,447.051146,-1880.952311,-2.579510,0.000000
425.000000,442.820411,-1883.617060,-2.579510,-0.000000
430.000000,438.589677,-1886.281810,-2.579510,0.000000
435.000000,434.358943,-1888.946559,-2.579510,0.000000
440.000000,430.128209,-1891.611308,-2.579510,0.000000
445.000000,425.897475,-1894.276057,-2.579510,0.000000
450.000000,421.666741,-1896.940806,-2.579510,-0.000000
455.000000,417.436006,-1899.605556,-2.579510,-0.000000
460.000000,413.205272,-1902.270305,-2.579510,0.000000
465.000000,408.974538,-1904.935054,-2.579510,0.000000
470.000000,404.743804,-1907.599804,-2.579509,0.000000
475.000000,400.513076,-1910.264563,-2.579503,0.000003
480.000000,396.282394,-1912.929394,-2.579463,0.000016
485.000000,392.051946,-1915.594598,-2.579314,0.000044
490.000000,387.822062,-1918.260696,-2.579038,0.000063
495.000000,383.592996,-1920.928093,-2.578759,0.000045
500.000000,379.364504,-1923.596398,-2.578606,0.000016
505.000000,375.136256,-1926.265090,-2.578564,0.000003
510.000000,370.908057,-1928.933860,-2.578557,0.000000
515.000000,366.679864,-1931.602640,-2.578557,0.000000
520.000000,362.451671,-1934.271420,-2.578557,-0.000000
525.000000,358.223479,-1936.940200,-2.578557,0.000000
530.000000,353.995286,-1939.608980,-2.578557,0.000000
535.000000,349.767093,-1942.277760,-2.578557,0.000000
540.000000,345.538901,-1944.946540,-2.578557,0.000000
545.000000,341.310708,-1947.615320,-2.578557,0.000000
550.000000,337.082516,-1950.284100,-2.578557,-0.000000
555.000000,332.854323,-1952.952880,-2.578557,-0.000000
560.000000,328.626130,-1955.621660,-2.578557,-0.000000
565.000000,324.397938,-1958.290440,-2.578557,0.000000
570.000000,320.169745,-1960.959221,-2.578557,-0.000000
575.000000,315.941552,-1963.628001,-2.578557,0.000000
580.000000,311.713360,-1966.296781,-2.578557,0.000000
585.000000,307.485167,-1968.965561,-2.578557,-0.000000
590.000000,303.256974,-1971.634341,-2.578557,0.000000
595.000000,299.028782,-1974.303121,-2.578557,0.000000
600.000000,294.800589,-1976.971901,-2.578557,-0.000000
605.000000,290.572397,-1979.640681,-2.578557,-0.000000
610.000000,286.344204,-1982.309461,-2.578557,-0.000000
615.000000,282.116011,-1984.978241,-2.578557,-0.000000
620.000000,277.887819,-1987.647021,-2.578557,-0.000000
625.000000,273.659626,-1990.315801,-2.578557,-0.000000
630.000000,269.431433,-1992.984581,-2.578557,0.000000
635.000000,265.203241,-1995.653362,-2.578557,-0.000000
640.000000,260.975048,-1998.322142,-2.578557,0.000000
645.000000,256.746856,-2000.990922,-2.578557,0.000000
650.000000,252.518663,-2003.659702,-2.578557,-0.000000
655.000000,248.290470,-2006.328482,-2.578557,0.000000
660.000000,244.062278,-2008.997262,-2.578557,0.000000
665.000000,239.834085,-2011.666042,-2.578557,-0.000000
670.000000,235.605892,-2014.334822,-2.578557,0.000000
675.000000,231.377700,-2017.003602,-2.578557,-0.000000
680.000000,227.149507,-2019.672382,-2.578557,0.000000
685.000000,222.921315,-2022.341162,-2.578557,0.000000
690.000000,218.693122,-2025.009942,-2.578557,0.000000
695.000000,214.464929,-2027.678722,-2.578557,-0.000000
700.000000,210.236737,-2030.347503,-2.578557,-0.000000
705.000000,206.008544,-2033.016283,-2.578557,0.000000
710.000000,201.780351,-2035.685063,-2.578557,0.000000
715.000000,197.552159,-2038.353843,-2.578557,-0.000000
720.000000,193.323966,-2041.022623,-2.578557,0.000000
725.000000,189.095774,-2043.691403,-2.578557,0.000000
730.000000,184.867581,-2046.360183,-2.578557,0.000000
735.000000,180.639388,-2049.028963,-2.578557,0.000000
740.000000,176.411196,-2051.697743,-2.578557,0.000000
745.000000,172.183003,-2054.366523,-2.578556,0.000000
750.000000,167.954813,-2057.035307,-2.578554,0.000001
755.000000,163.726649,-2059.704132,-2.578530,0.000009
760.000000,159.498619,-2062.373170,-2.578434,0.000031
765.000000,155.271024,-2065.042898,-2.578213,0.000054
770.000000,151.044104,-2067.713693,-2.577945,0.000048
775.000000,146.817824,-2070.385501,-2.577771,0.000022
780.000000,142.591836,-2073.057770,-2.577708,0.000005
785.000000,138.365932,-2075.730173,-2.577697,0.000001
790.000000,134.140038,-2078.402592,-2.577695,0.000000
795.000000,129.914146,-2081.075012,-2.577695,0.000000
800.000000,125.688253,-2083.747433,-2.577695,0.000000
805.000000,121.462361,-2086.419854,-2.577695,0.000000
810.000000,117.236468,-2089.092274,-2.577695,0.000000
815.000000,113.010576,-2091.764695,-2.577695,-0.000000
820.000000,108.784683,-2094.437116,-2.577695,-0.000000
825.000000,104.558791,-2097.109536,-2.577695,0.000000
830.000000,100.332898,-2099.781957,-2.577695,0.000000
835.000000,96.107006,-2102.454378,-2.577695,-0.000000
840.000000,91.881113,-2105.126798,-2.577695,0.000000
845.000000,87.655221,-2107.799219,-2.577695,0.000000
850.000000,83.429328,-2110.471640,-2.577695,-0.000000
855.000000,79.203435,-2113.144060,-2.577695,-0.000000
860.000000,74.977543,-2115.816481,-2.577695,0.000000
865.000000,70.751650,-2118.488902,-2.577695,0.000000
870.000000,66.525758,-2121.161322,-2.577695,0.000000
875.000000,62.299865,-2123.833743,-2.577695,0.000000
880.000000,58.073973,-2126.506164,-2.577695,-0.000000
885.000000,53.848080,-2129.178584,-2.577695,-0.000000
890.000000,49.622188,-2131.851005,-2.577695,0.000000
895.000000,45.396295,-2134.523426,-2.577695,0.000000
900.000000,41.170403,-2137.195847,-2.577695,0.000000
905.000000,36.944510,-2139.868267,-2.577695,0.000000
910.000000,32.718618,-2142.540688,-2.577695,0.000000
915.000000,28.492725,-2145.213109,-2.577695,-0.000000
920.000000,24.266832,-2147.885529,-2.577695,0.000000
925.000000,20.040940,-2150.557950,-2.577695,0.000000
930.000000,15.815047,-2153.230371,-2.577695,0.000000
935.000000,11.589155,-2155.902791,-2.577695,0.000000
940.000000,7.363262,-2158.575212,-2.577695,-0.000000
945.000000,3.137370,-2161.247633,-2.577695,-0.000000
950.000000,-1.088523,-2163.920053,-2.577695,-0.000000
955.000000,-5.314415,-2166.592474,-2.577695,-0.000000
960.000000,-9.540308,-2169.264895,-2.577695,0.000000
965.000000,-13.766200,-2171.937315,-2.577695,-0.000000
970.000000,-17.992093,-2174.609736,-2.577695,0.000000
975.000000,-22.217985,-2177.282157,-2.577695,-0.000000
980.000000,-26.443878,-2179.954577,-2.577695,-0.000000
985.000000,-30.669771,-2182.626998,-2.577695,-0.000000
990.000000,-34.895663,-2185.299419,-2.577695,0.000000
995.000000,-39.121556,-2187.971839,-2.577695,-0.000000
1000.000000,-43.347448,-2190.644260,-2.577695,0.000000
1005.000000,-47.573341,-2193.316681,-2.577695,-0.000000
1010.000000,-51.799233,-2195.989101,-2.577695,-0.000000
1015.000000,-56.025126,-2198.661522,-2.577695,-0.000000
1020.000000,-60.251018,-2201.333943,-2.577695,-0.000000
1025.000000,-64.476911,-2204.006363,-2.577695,0.000000
1030.000000,-68.702803,-2206.678784,-2.577695,0.000000
1035.000000,-72.928696,-2209.351205,-2.577695,0.000000
1040.000000,-77.154588,-2212.023625,-2.577695,0.000000
1045.000000,-81.380481,-2214.696046,-2.577695,0.000000
1050.000000,-85.606374,-2217.368467,-2.577695,0.000000
1055.000000,-89.832266,-2220.040887,-2.577695,-0.000000
1060.000000,-94.058159,-2222.713307,-2.577697,-0.000001
1065.000000,-98.284065,-2225.385708,-2.577709,-0.000005
1070.000000,-102.510050,-2228.057981,-2.577773,-0.000024
1075.000000,-106.736379,-2230.729712,-2.577973,-0.000055
